INFO,Date,Content Length,ContentType,remotePath,filename
PAM Disk2/pa0549au/pa0549au_001_180831_132948.wav,2018-09-30 06:22:32 +0000 GMT,230400044,.wav,PAM Disk2/pa0549au/pa0549au_001_180831_132948.wav,pa0549au_001_180831_132948.wav
PAM Disk2/pa0550au/pa0550au_002_180831_173536.wav,2018-09-30 06:30:40 +0000 GMT,230400044,.wav,PAM Disk2/pa0550au/pa0550au_002_180831_173536.wav,pa0550au_002_180831_173536.wav
PAM Disk2/pa0550au/pa0550au_001_180831_172533.wav,2018-09-30 06:27:53 +0000 GMT,230400044,.wav,PAM Disk2/pa0550au/pa0550au_001_180831_172533.wav,pa0550au_001_180831_172533.wav
PAM Disk2/pa0548au/pa0548au_003_180831_100021.wav,2018-09-30 06:16:00 +0000 GMT,230400044,.wav,PAM Disk2/pa0548au/pa0548au_003_180831_100021.wav,pa0548au_003_180831_100021.wav
PAM Disk2/pa0548au/pa0548au_004_180831_101020.wav,2018-09-30 06:16:52 +0000 GMT,230400044,.wav,PAM Disk2/pa0548au/pa0548au_004_180831_101020.wav,pa0548au_004_180831_101020.wav
PAM Disk2/pa0548au/pa0548au_005_180831_102019.wav,2018-09-30 06:16:49 +0000 GMT,230400044,.wav,PAM Disk2/pa0548au/pa0548au_005_180831_102019.wav,pa0548au_005_180831_102019.wav
PAM Disk2/pa0548au/pa0548au_006_180831_103018.wav,2018-09-30 06:17:40 +0000 GMT,91956524,.wav,PAM Disk2/pa0548au/pa0548au_006_180831_103018.wav,pa0548au_006_180831_103018.wav
PAM Disk2/pa0548au/pa0548au_002_180831_095022.wav,2018-09-30 06:21:54 +0000 GMT,230400044,.wav,PAM Disk2/pa0548au/pa0548au_002_180831_095022.wav,pa0548au_002_180831_095022.wav
PAM Disk2/pa0549au/pa0549au_002_180831_133951.wav,2018-09-30 06:22:29 +0000 GMT,230400044,.wav,PAM Disk2/pa0549au/pa0549au_002_180831_133951.wav,pa0549au_002_180831_133951.wav
PAM Disk2/pa0553au/pa0553au_003_180901_035013.wav,2018-09-30 06:46:05 +0000 GMT,230400044,.wav,PAM Disk2/pa0553au/pa0553au_003_180901_035013.wav,pa0553au_003_180901_035013.wav
PAM Disk2/pa0553au/pa0553au_004_180901_040012.wav,2018-09-30 06:45:47 +0000 GMT,230400044,.wav,PAM Disk2/pa0553au/pa0553au_004_180901_040012.wav,pa0553au_004_180901_040012.wav
PAM Disk2/pa0553au/pa0553au_005_180901_041011.wav,2018-09-30 06:51:30 +0000 GMT,192951596,.wav,PAM Disk2/pa0553au/pa0553au_005_180901_041011.wav,pa0553au_005_180901_041011.wav
PAM Disk2/pa0552au/pa0552au_001_180901_001025.wav,2018-09-30 06:40:38 +0000 GMT,230400044,.wav,PAM Disk2/pa0552au/pa0552au_001_180901_001025.wav,pa0552au_001_180901_001025.wav
PAM Disk2/pa0552au/pa0552au_002_180901_002028.wav,2018-09-30 06:41:40 +0000 GMT,230400044,.wav,PAM Disk2/pa0552au/pa0552au_002_180901_002028.wav,pa0552au_002_180901_002028.wav
PAM Disk2/pa0553au/pa0553au_002_180901_034014.wav,2018-09-30 06:48:34 +0000 GMT,230400044,.wav,PAM Disk2/pa0553au/pa0553au_002_180901_034014.wav,pa0553au_002_180901_034014.wav
PAM Disk2/pa0549au/pa0549au_003_180831_134950.wav,2018-09-30 06:25:00 +0000 GMT,230400044,.wav,PAM Disk2/pa0549au/pa0549au_003_180831_134950.wav,pa0549au_003_180831_134950.wav
PAM Disk2/pa0549au/pa0549au_004_180831_135949.wav,2018-09-30 06:23:23 +0000 GMT,230400044,.wav,PAM Disk2/pa0549au/pa0549au_004_180831_135949.wav,pa0549au_004_180831_135949.wav
PAM Disk2/pa0549au/pa0549au_006_180831_141947.wav,2018-09-30 06:26:36 +0000 GMT,215606828,.wav,PAM Disk2/pa0549au/pa0549au_006_180831_141947.wav,pa0549au_006_180831_141947.wav
PAM Disk2/pa0553au/pa0553au_001_180901_033011.wav,2018-09-30 06:48:07 +0000 GMT,230400044,.wav,PAM Disk2/pa0553au/pa0553au_001_180901_033011.wav,pa0553au_001_180901_033011.wav
PAM Disk2/pa0549au/pa0549au_005_180831_140948.wav,2018-09-30 06:31:24 +0000 GMT,230400044,.wav,PAM Disk2/pa0549au/pa0549au_005_180831_140948.wav,pa0549au_005_180831_140948.wav
PAM Disk2/pa0548au/pa0548au_001_180831_094019.wav,2018-09-30 06:13:12 +0000 GMT,230400044,.wav,PAM Disk2/pa0548au/pa0548au_001_180831_094019.wav,pa0548au_001_180831_094019.wav
PAM Disk2/pa0543au/pa0543au_003_180830_144841.wav,2018-09-30 05:44:38 +0000 GMT,230400044,.wav,PAM Disk2/pa0543au/pa0543au_003_180830_144841.wav,pa0543au_003_180830_144841.wav
PAM Disk2/pa0543au/pa0543au_004_180830_145840.wav,2018-09-30 05:50:31 +0000 GMT,230400044,.wav,PAM Disk2/pa0543au/pa0543au_004_180830_145840.wav,pa0543au_004_180830_145840.wav
PAM Disk2/pa0543au/pa0543au_005_180830_150839.wav,2018-09-30 05:49:15 +0000 GMT,230400044,.wav,PAM Disk2/pa0543au/pa0543au_005_180830_150839.wav,pa0543au_005_180830_150839.wav
PAM Disk2/pa0543au/pa0543au_006_180830_151838.wav,2018-09-30 05:48:27 +0000 GMT,86966060,.wav,PAM Disk2/pa0543au/pa0543au_006_180830_151838.wav,pa0543au_006_180830_151838.wav
PAM Disk2/pa0544au/pa0544au_001_180830_181658.wav,2018-09-30 05:49:49 +0000 GMT,230400044,.wav,PAM Disk2/pa0544au/pa0544au_001_180830_181658.wav,pa0544au_001_180830_181658.wav
PAM Disk2/pa0547au/pa0547au_003_180831_060435.wav,2018-09-30 06:11:26 +0000 GMT,230400044,.wav,PAM Disk2/pa0547au/pa0547au_003_180831_060435.wav,pa0547au_003_180831_060435.wav
PAM Disk2/pa0547au/pa0547au_004_180831_061434.wav,2018-09-30 06:14:21 +0000 GMT,230400044,.wav,PAM Disk2/pa0547au/pa0547au_004_180831_061434.wav,pa0547au_004_180831_061434.wav
PAM Disk2/pa0547au/pa0547au_005_180831_062433.wav,2018-09-30 06:09:25 +0000 GMT,230400044,.wav,PAM Disk2/pa0547au/pa0547au_005_180831_062433.wav,pa0547au_005_180831_062433.wav
